Date & Time,PM25_BAM (ug/m3),WDIR_VECT_BAM (deg),WSPD_SCLR_BAM (m/s),PM25_EBAM (ug/m3)
2015-11-09 1:00,NoData,NoData,NoData,NoData
2015-11-09 2:00,NoData,NoData,NoData,NoData
2015-11-09 3:00,NoData,NoData,NoData,NoData
2015-11-09 4:00,NoData,NoData,NoData,NoData
2015-11-09 5:00,NoData,NoData,NoData,NoData
2015-11-09 6:00,NoData,NoData,NoData,NoData
2015-11-09 7:00,NoData,NoData,NoData,NoData
2015-11-09 8:00,NoData,NoData,NoData,NoData
2015-11-09 9:00,NoData,NoData,NoData,NoData
2015-11-09 10:00,NoData,NoData,NoData,NoData
2015-11-09 11:00,NoData,NoData,NoData,NoData
2015-11-09 12:00,NoData,NoData,NoData,NoData
2015-11-09 13:00,InVld,217.4,2.4,NoData
2015-11-09 14:00,0.1,250.5,2,NoData
2015-11-09 15:00,5.1,212.7,1.5,NoData
2015-11-09 16:00,6.1,235.4,1.3,NoData
2015-11-09 17:00,9.7,207.5,1.4,NoData
2015-11-09 18:00,17.2,186.2,0.8,NoData
2015-11-09 19:00,12.1,29,0.5,NoData
2015-11-09 20:00,14.8,53.8,0.7,NoData
2015-11-09 21:00,18.8,40.7,0.7,NoData
2015-11-09 22:00,19.2,353.6,0.8,NoData
2015-11-09 23:00,19.2,20.9,0.8,NoData
42318,20.2,33.2,0.8,NoData
2015-11-10 1:00,14.9,118,0.6,NoData
2015-11-10 2:00,15.8,54.7,0.7,NoData
2015-11-10 3:00,18.2,50.5,1,NoData
2015-11-10 4:00,12.7,51.2,0.9,NoData
2015-11-10 5:00,15.3,29.5,0.7,NoData
2015-11-10 6:00,10.3,43.5,1.4,NoData
2015-11-10 7:00,17.8,37.4,1,NoData
2015-11-10 8:00,19.3,52.7,1.9,NoData
2015-11-10 9:00,19.2,59.8,2.1,NoData
2015-11-10 10:00,14.9,34.3,2,NoData
2015-11-10 11:00,17,42,2,NoData
2015-11-10 12:00,9.1,55.6,2,NoData
2015-11-10 13:00,13.3,154.9,1.4,NoData
2015-11-10 14:00,11.7,228.8,1.1,NoData
2015-11-10 15:00,15.9,209.7,1.5,NoData
2015-11-10 16:00,17.6,167,0.8,NoData
2015-11-10 17:00,13.1,93.2,0.8,NoData
2015-11-10 18:00,17.5,52.1,1.4,NoData
2015-11-10 19:00,16.1,48.8,2.1,NoData
2015-11-10 20:00,20.4,30.1,1.9,NoData
2015-11-10 21:00,25.3,35.2,2,NoData
2015-11-10 22:00,17.4,12.3,2.2,NoData
2015-11-10 23:00,21.9,20.4,2.5,NoData
42319,19.2,37.1,2.8,NoData
2015-11-11 1:00,21.1,27,1.5,NoData
2015-11-11 2:00,19.4,41.5,1.1,NoData
2015-11-11 3:00,18.9,49.5,1.1,NoData
2015-11-11 4:00,27,68.8,1.5,NoData
2015-11-11 5:00,14.5,66.6,1.3,NoData
2015-11-11 6:00,10.3,219.3,1.4,NoData
2015-11-11 7:00,7.7,219.3,2.9,NoData
2015-11-11 8:00,4.9,185.3,1.8,NoData
2015-11-11 9:00,4.8,285.3,1.3,NoData
2015-11-11 10:00,8.3,29.7,2,NoData
2015-11-11 11:00,6,36.9,1.9,NoData
2015-11-11 12:00,5.8,23.3,1.7,NoData
2015-11-11 13:00,4,228.6,2.7,NoData
2015-11-11 14:00,1.1,236.3,4.3,NoData
2015-11-11 15:00,6.1,312.5,1.8,NoData
2015-11-11 16:00,7.8,211,2,NoData
2015-11-11 17:00,6.7,64,1.7,NoData
2015-11-11 18:00,7.2,50.1,1.9,NoData
2015-11-11 19:00,6.1,57.8,1.8,NoData
2015-11-11 20:00,8.6,30.1,1.7,NoData
2015-11-11 21:00,12.5,35.2,1.4,NoData
2015-11-11 22:00,12.5,44.6,2,NoData
2015-11-11 23:00,24.7,49.2,2,NoData
42320,12.8,43.7,2.4,NoData
2015-11-12 1:00,18.6,25.1,1.9,NoData
2015-11-12 2:00,18.2,24.2,2.4,NoData
2015-11-12 3:00,10.6,14.3,2.3,NoData
2015-11-12 4:00,15.2,18.7,2.3,NoData
2015-11-12 5:00,15,26.2,2.3,NoData
2015-11-12 6:00,17.5,9,2.6,NoData
2015-11-12 7:00,17.7,6.6,2.3,NoData
2015-11-12 8:00,17.7,5.9,2.2,NoData
2015-11-12 9:00,15.3,12.1,2.1,NoData
2015-11-12 10:00,InVld,10.8,2.3,NoData
2015-11-12 11:00,16.7,27,2.6,NoData
2015-11-12 12:00,18.6,9,2,NoData
2015-11-12 13:00,11.9,51.2,2.7,NoData
2015-11-12 14:00,11.1,47.9,2.5,NoData
2015-11-12 15:00,10.8,5.3,1.4,NoData
2015-11-12 16:00,11.6,21.5,1.4,NoData
2015-11-12 17:00,8.2,13.4,1.8,NoData
2015-11-12 18:00,8.1,4.8,1.2,NoData
2015-11-12 19:00,7.5,24.8,1.1,NoData
2015-11-12 20:00,11.3,35.2,1.2,NoData
2015-11-12 21:00,12.1,50.5,1.3,NoData
2015-11-12 22:00,11.6,48.4,1.5,NoData
2015-11-12 23:00,9.2,25.7,1.8,NoData
42321,12.1,31.6,2,NoData
2015-11-13 1:00,9.1,35.4,2.6,NoData
2015-11-13 2:00,9.7,33.8,2.3,NoData
2015-11-13 3:00,6.6,34.7,2.4,NoData
2015-11-13 4:00,7.2,29.5,1.9,NoData
2015-11-13 5:00,8.4,31.4,2.2,NoData
2015-11-13 6:00,7.2,96.7,1.3,NoData
2015-11-13 7:00,8,16.9,1,NoData
2015-11-13 8:00,8.3,27.5,1.5,NoData
2015-11-13 9:00,8.2,19.8,1.8,NoData
2015-11-13 10:00,13.8,20.7,1.7,NoData
2015-11-13 11:00,11.5,30.8,2.6,NoData
2015-11-13 12:00,18.6,2.4,InVld,NoData
2015-11-13 13:00,Down,25.9,InVld,NoData
2015-11-13 14:00,15.3,29.7,2.3,NoData
2015-11-13 15:00,19.9,31.9,1.9,NoData
2015-11-13 16:00,19.1,33.2,1.6,NoData
2015-11-13 17:00,19.6,35.6,1.8,NoData
2015-11-13 18:00,23.3,30.1,1.7,NoData
2015-11-13 19:00,22.1,58.9,1.4,NoData
2015-11-13 20:00,13.1,64.6,1.5,NoData
2015-11-13 21:00,29.1,36.7,1.5,NoData
2015-11-13 22:00,33.7,26.6,1.4,NoData
2015-11-13 23:00,33.2,39.3,1.8,NoData
42322,30.2,67,1.2,NoData
2015-11-14 1:00,28,37.8,1.5,NoData
2015-11-14 2:00,38.2,31.6,1.7,NoData
2015-11-14 3:00,30.9,15.2,2.2,NoData
2015-11-14 4:00,31.2,14.7,2.1,NoData
2015-11-14 5:00,9.9,37.1,2.4,NoData
