"Station Name","VERNON AUTO"
"Province","BRITISH COLUMBIA"
"Latitude","50.22"
"Longitude","-119.19"
"Elevation","482.00"
"Climate Identifier","1128582"
"WMO Identifier","71115"
"TC Identifier","WJV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-01-01 00:00","2016","01","01","00:00","-13.2","","-14.9","","87","","10","","16","","","","98.23","","","","-21","","NA"
"2016-01-01 01:00","2016","01","01","01:00","-13.7","","-15.5","","86","","10","","15","","","","98.22","","","","-21","","NA"
"2016-01-01 02:00","2016","01","01","02:00","-12.7","","-14.6","","86","","9","","11","","","","98.21","","","","-19","","NA"
"2016-01-01 03:00","2016","01","01","03:00","-12.1","","-14.3","","84","","9","","13","","","","98.19","","","","-19","","NA"
"2016-01-01 04:00","2016","01","01","04:00","-12.2","","-14.5","","83","","9","","16","","","","98.14","","","","-20","","NA"
"2016-01-01 05:00","2016","01","01","05:00","-11.9","","-14.1","","84","","9","","13","","","","98.10","","","","-19","","NA"
"2016-01-01 06:00","2016","01","01","06:00","-11.4","","-13.6","","84","","9","","12","","","","98.07","","","","-18","","NA"
"2016-01-01 07:00","2016","01","01","07:00","-12.1","","-14.2","","84","","10","","16","","","","98.05","","","","-20","","NA"
"2016-01-01 08:00","2016","01","01","08:00","-12.2","","-14.5","","83","","10","","19","","","","98.06","","","","-20","","NA"
"2016-01-01 09:00","2016","01","01","09:00","-11.5","","-13.5","","85","","10","","16","","","","98.09","","","","-19","","NA"
"2016-01-01 10:00","2016","01","01","10:00","-11.0","","-13.4","","82","","9","","12","","","","98.07","","","","-17","","NA"
"2016-01-01 11:00","2016","01","01","11:00","-10.1","","-12.5","","83","","9","","12","","","","98.00","","","","-16","","NA"
"2016-01-01 12:00","2016","01","01","12:00","-9.6","","-12.7","","78","","9","","10","","","","97.94","","","","-15","","NA"
"2016-01-01 13:00","2016","01","01","13:00","-9.1","","-12.6","","76","","10","","10","","","","97.88","","","","-14","","NA"
"2016-01-01 14:00","2016","01","01","14:00","-9.1","","-12.6","","75","","10","","8","","","","97.82","","","","-13","","NA"
"2016-01-01 15:00","2016","01","01","15:00","-10.7","","-13.5","","80","","10","","7","","","","97.77","","","","-15","","NA"
"2016-01-01 16:00","2016","01","01","16:00","-13.6","","-15.2","","88","","10","","6","","","","97.75","","","","-18","","NA"
"2016-01-01 17:00","2016","01","01","17:00","-14.7","","-15.8","","91","","10","","8","","","","97.71","","","","-20","","NA"
"2016-01-01 18:00","2016","01","01","18:00","-14.7","","-15.8","","92","","9","","7","","","","97.68","","","","-19","","NA"
"2016-01-01 19:00","2016","01","01","19:00","-15.0","","-16.2","","91","","9","","9","","","","97.64","","","","-21","","NA"
"2016-01-01 20:00","2016","01","01","20:00","-15.1","","-16.5","","89","","10","","8","","","","97.63","","","","-20","","NA"
"2016-01-01 21:00","2016","01","01","21:00","-15.7","","-16.9","","91","","10","","12","","","","97.61","","","","-23","","NA"
"2016-01-01 22:00","2016","01","01","22:00","-15.7","","-16.9","","91","","10","","10","","","","97.59","","","","-22","","NA"
"2016-01-01 23:00","2016","01","01","23:00","-15.9","","-17.3","","89","","9","","10","","","","97.58","","","","-22","","NA"
"2016-01-02 00:00","2016","01","02","00:00","-14.6","","-15.7","","91","","9","","7","","","","97.54","","","","-19","","NA"
"2016-01-02 01:00","2016","01","02","01:00","-14.2","","-15.6","","89","","9","","12","","","","97.48","","","","-21","","NA"
"2016-01-02 02:00","2016","01","02","02:00","-13.6","","-14.9","","90","","9","","11","","","","97.48","","","","-20","","NA"
"2016-01-02 03:00","2016","01","02","03:00","-13.7","","-14.6","","92","","10","","14","","","","97.45","","","","-21","","NA"
"2016-01-02 04:00","2016","01","02","04:00","-13.8","","-15.0","","91","","10","","15","","","","97.43","","","","-21","","NA"
"2016-01-02 05:00","2016","01","02","05:00","-13.9","","-15.1","","91","","9","","13","","","","97.40","","","","-21","","NA"
"2016-01-02 06:00","2016","01","02","06:00","-13.5","","-14.7","","91","","9","","10","","","","97.40","","","","-19","","NA"
"2016-01-02 07:00","2016","01","02","07:00","-13.3","","-14.6","","90","","9","","11","","","","97.36","","","","-20","","NA"
"2016-01-02 08:00","2016","01","02","08:00","-13.1","","-14.5","","89","","10","","15","","","","97.37","","","","-21","","NA"
"2016-01-02 09:00","2016","01","02","09:00","-13.0","","-14.5","","88","","9","","10","","","","97.41","","","","-19","","NA"
"2016-01-02 10:00","2016","01","02","10:00","-12.7","","-14.0","","90","","9","","8","","","","97.42","","","","-18","","NA"
"2016-01-02 11:00","2016","01","02","11:00","-12.0","","-13.6","","88","","9","","9","","","","97.36","","","","-17","","NA"
"2016-01-02 12:00","2016","01","02","12:00","-11.1","","-13.3","","84","","9","","7","","","","97.29","","","","-15","","NA"
"2016-01-02 13:00","2016","01","02","13:00","-10.2","","-12.5","","83","","10","","5","","","","97.22","","","","-13","","NA"
"2016-01-02 14:00","2016","01","02","14:00","-10.2","","-12.4","","83","","15","","2","","","","97.16","","","","-11","","NA"
