"Station Name","VERNON AUTO"
"Province","BRITISH COLUMBIA"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","50.22"
"Longitude","-119.19"
"Elevation","482.00"
"Climate Identifier","1128582"
"WMO Identifier","71115"
"TC Identifier","WJV"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-10-01 00:00","2018","10","01","00:00","5.3","","3.9","","91","","5","","4","","","","95.47","","","","","","NA"
"2018-10-01 01:00","2018","10","01","01:00","5.5","","4.2","","92","","5","","5","","","","95.44","","","","","","NA"
"2018-10-01 02:00","2018","10","01","02:00","5.5","","4.1","","91","","11","","11","","","","95.42","","","","","","NA"
"2018-10-01 03:00","2018","10","01","03:00","5.7","","4.2","","90","","7","","3","","","","95.41","","","","","","NA"
"2018-10-01 04:00","2018","10","01","04:00","5.5","","4.2","","91","","11","","10","","","","95.38","","","","","","NA"
"2018-10-01 05:00","2018","10","01","05:00","5.6","","4.2","","91","","11","","11","","","","95.37","","","","","","NA"
"2018-10-01 06:00","2018","10","01","06:00","5.6","","4.3","","92","","12","","9","","","","95.39","","","","","","NA"
"2018-10-01 07:00","2018","10","01","07:00","6.0","","4.4","","90","","11","","12","","","","95.38","","","","","","NA"
"2018-10-01 08:00","2018","10","01","08:00","6.6","","4.9","","89","","11","","8","","","","95.39","","","","","","NA"
"2018-10-01 09:00","2018","10","01","09:00","7.4","","4.7","","83","","0","","1","","","","95.43","","","","","","NA"
"2018-10-01 10:00","2018","10","01","10:00","8.3","","5.6","","84","","10","","1","","","","95.41","","","","","","NA"
"2018-10-01 11:00","2018","10","01","11:00","8.8","","5.9","","82","","25","","3","","","","95.38","","","","","","NA"
