"","Date.Time","EBAM.PM25","WIND.SPEED","WIND.DIR","BAM.PM25","Rel Hum (%)"
"1",2015-11-09 14:00:00,NA,2,250.5,0.1,67
"2",2015-11-09 15:00:00,NA,1.5,212.7,5.1,70
"3",2015-11-09 16:00:00,NA,1.3,235.4,6.1,77
"4",2015-11-09 17:00:00,NA,1.4,207.5,9.7,82
"5",2015-11-09 18:00:00,NA,0.8,186.2,17.2,86
"6",2015-11-09 19:00:00,NA,0.5,29,12.1,86
"7",2015-11-09 20:00:00,NA,0.7,53.8,14.8,88
"8",2015-11-09 21:00:00,NA,0.7,40.7,18.8,89
"9",2015-11-09 22:00:00,NA,0.8,353.6,19.2,87
"10",2015-11-09 23:00:00,NA,0.8,20.9,19.2,91
"11",2015-11-10 00:00:00,NA,0.8,33.2,20.2,93
"12",2015-11-10 01:00:00,NA,0.6,118,14.9,95
"13",2015-11-10 02:00:00,NA,0.7,54.7,15.8,97
"14",2015-11-10 03:00:00,NA,1,50.5,18.2,96
"15",2015-11-10 04:00:00,NA,0.9,51.2,12.7,96
"16",2015-11-10 05:00:00,NA,0.7,29.5,15.3,97
"17",2015-11-10 06:00:00,NA,1.4,43.5,10.3,92
"18",2015-11-10 07:00:00,NA,1,37.4,17.8,93
"19",2015-11-10 08:00:00,NA,1.9,52.7,19.3,91
"20",2015-11-10 09:00:00,NA,2.1,59.8,19.2,83
"21",2015-11-10 10:00:00,NA,2,34.3,14.9,76
"22",2015-11-10 11:00:00,NA,2,42,17,70
"23",2015-11-10 12:00:00,NA,2,55.6,9.1,68
"24",2015-11-10 13:00:00,NA,1.4,154.9,13.3,68
"25",2015-11-10 14:00:00,NA,1.1,228.8,11.7,72
"26",2015-11-10 15:00:00,NA,1.5,209.7,15.9,74
"27",2015-11-10 16:00:00,NA,0.8,167,17.6,86
"28",2015-11-10 17:00:00,NA,0.8,93.2,13.1,87
"29",2015-11-10 18:00:00,NA,1.4,52.1,17.5,86
"30",2015-11-10 19:00:00,NA,2.1,48.8,16.1,82
"31",2015-11-10 20:00:00,NA,1.9,30.1,20.4,88
"32",2015-11-10 21:00:00,NA,2,35.2,25.3,86
"33",2015-11-10 22:00:00,NA,2.2,12.3,17.4,83
"34",2015-11-10 23:00:00,NA,2.5,20.4,21.9,83
"35",2015-11-11 00:00:00,NA,2.8,37.1,19.2,77
"36",2015-11-11 01:00:00,NA,1.5,27,21.1,80
"37",2015-11-11 02:00:00,NA,1.1,41.5,19.4,82
"38",2015-11-11 03:00:00,NA,1.1,49.5,18.9,84
"39",2015-11-11 04:00:00,NA,1.5,68.8,27,72
"40",2015-11-11 05:00:00,NA,1.3,66.6,14.5,76
"41",2015-11-11 06:00:00,NA,1.4,219.3,10.3,82
"42",2015-11-11 07:00:00,NA,2.9,219.3,7.7,83
"43",2015-11-11 08:00:00,NA,1.8,185.3,4.9,77
"44",2015-11-11 09:00:00,NA,1.3,285.3,4.8,83
"45",2015-11-11 10:00:00,NA,2,29.7,8.3,79
"46",2015-11-11 11:00:00,NA,1.9,36.9,6,70
"47",2015-11-11 12:00:00,NA,1.7,23.3,5.8,59
"48",2015-11-11 13:00:00,NA,2.7,228.6,4,44
"49",2015-11-11 14:00:00,NA,4.3,236.3,1.1,72
"50",2015-11-11 15:00:00,NA,1.8,312.5,6.1,68
"51",2015-11-11 16:00:00,NA,2,211,7.8,79
"52",2015-11-11 17:00:00,NA,1.7,64,6.7,87
"53",2015-11-11 18:00:00,NA,1.9,50.1,7.2,91
"54",2015-11-11 19:00:00,NA,1.8,57.8,6.1,93
"55",2015-11-11 20:00:00,NA,1.7,30.1,8.6,95
"56",2015-11-11 21:00:00,NA,1.4,35.2,12.5,96
"57",2015-11-11 22:00:00,NA,2,44.6,12.5,96
"58",2015-11-11 23:00:00,NA,2,49.2,24.7,94
"59",2015-11-12 00:00:00,NA,2.4,43.7,12.8,92
"60",2015-11-12 01:00:00,NA,1.9,25.1,18.6,94
"61",2015-11-12 02:00:00,NA,2.4,24.2,18.2,95
"62",2015-11-12 03:00:00,NA,2.3,14.3,10.6,96
"63",2015-11-12 04:00:00,NA,2.3,18.7,15.2,93
"64",2015-11-12 05:00:00,NA,2.3,26.2,15,91
"65",2015-11-12 06:00:00,NA,2.6,9,17.5,91
"66",2015-11-12 07:00:00,NA,2.3,6.6,17.7,89
"67",2015-11-12 08:00:00,NA,2.2,5.9,17.7,91
"68",2015-11-12 09:00:00,NA,2.1,12.1,15.3,89
"69",2015-11-12 10:00:00,NA,2.3,10.8,NA,87
"70",2015-11-12 11:00:00,NA,2.6,27,16.7,86
"71",2015-11-12 12:00:00,NA,2,9,18.6,84
"72",2015-11-12 13:00:00,NA,2.7,51.2,11.9,82
"73",2015-11-12 14:00:00,NA,2.5,47.9,11.1,79
"74",2015-11-12 15:00:00,NA,1.4,5.3,10.8,78
"75",2015-11-12 16:00:00,NA,1.4,21.5,11.6,77
"76",2015-11-12 17:00:00,NA,1.8,13.4,8.2,76
"77",2015-11-12 18:00:00,NA,1.2,4.8,8.1,76
"78",2015-11-12 19:00:00,NA,1.1,24.8,7.5,77
"79",2015-11-12 20:00:00,NA,1.2,35.2,11.3,78
"80",2015-11-12 21:00:00,NA,1.3,50.5,12.1,71
"81",2015-11-12 22:00:00,NA,1.5,48.4,11.6,70
"82",2015-11-12 23:00:00,NA,1.8,25.7,9.2,76
"83",2015-11-13 00:00:00,NA,2,31.6,12.1,75
"84",2015-11-13 01:00:00,NA,2.6,35.4,9.1,73
"85",2015-11-13 02:00:00,NA,2.3,33.8,9.7,78
"86",2015-11-13 03:00:00,NA,2.4,34.7,6.6,77
"87",2015-11-13 04:00:00,NA,1.9,29.5,7.2,76
"88",2015-11-13 05:00:00,NA,2.2,31.4,8.4,79
"89",2015-11-13 06:00:00,NA,1.3,96.7,7.2,81
"90",2015-11-13 07:00:00,NA,1,16.9,8,84
"91",2015-11-13 08:00:00,NA,1.5,27.5,8.3,86
"92",2015-11-13 09:00:00,NA,1.8,19.8,8.2,91
"93",2015-11-13 10:00:00,NA,1.7,20.7,13.8,90
"94",2015-11-13 11:00:00,NA,2.6,30.8,11.5,87
"95",2015-11-13 12:00:00,NA,NA,2.4,18.6,81
"96",2015-11-13 13:00:00,NA,NA,25.9,NA,80
"97",2015-11-13 14:00:00,NA,2.3,29.7,15.3,79
"98",2015-11-13 15:00:00,NA,1.9,31.9,19.9,56
"99",2015-11-13 16:00:00,NA,1.6,33.2,19.1,55
"100",2015-11-13 17:00:00,NA,1.8,35.6,19.6,79
