Date.Time,BAM.PM25,Venting.Index,Mean.Temp,Group
2015-11-09,19.2,55,3.6,A
2015-11-10,25.3,54,0.5,A
2015-11-11,27,99,4.3,A
2015-11-12,18.6,38,1.7,A
2015-11-13,33.7,34,8,A
2015-11-14,38.2,13,5.1,A
2015-11-15,18.5,10,3,A
2015-11-16,20,52,0.8,A
2015-11-17,11,16,NA,A
2015-11-18,26.8,39,NA,A
2015-11-19,22.2,32,0,A
2015-11-20,43.5,22,1.1,A
2015-11-21,29.1,11,-1.2,A
2015-11-22,26.1,11,-1,A
2015-11-23,22.4,12,-0.1,A
2015-11-24,17.6,16,-2.4,A
2015-11-25,26.4,23,-7.5,A
2015-11-26,18.5,13,-7.4,A
2015-11-27,11.3,12,-6.7,A
2015-11-28,12.1,11,-6.9,A
2015-11-29,14.4,17,-7.5,A
2015-11-30,17.6,15,-6,A
2015-12-01,23.9,24,-4.6,A
2015-12-02,21.5,18,-2.6,A
2015-12-03,19.7,13,0.4,A
2015-12-04,28,13,0.7,A
2015-12-05,18.6,45,-0.4,A
2015-12-06,11.6,44,3.5,A
2015-12-07,16.3,24,2.4,A
2015-12-08,17.4,15,4.8,A
2015-12-09,9.2,15,6.3,A
2015-12-10,23.3,22,2.8,A
2015-12-11,13.6,18,0.2,A
2015-12-12,16.7,13,0.5,A
2015-12-13,22.5,28,0.9,A
2015-12-14,16,41,1.5,A
2015-12-15,20.9,16,-0.6,A
2015-12-16,18.6,38,-2,A
2015-12-17,13,12,-5,A
2015-12-18,14.9,32,-1.2,A
2015-12-19,14.5,17,-3.1,A
2015-12-20,19.9,66,-2.5,A
2015-12-21,21,14,-4.5,A
2015-12-22,16.1,13,-2.5,A
2015-12-23,20.3,11,-2.5,A
2015-12-24,19.6,24,-3.2,A
2015-12-25,22.7,13,-6.5,A
2015-12-26,15.6,14,-9.7,A
2015-12-27,12.7,13,-4,A
2015-12-28,25.2,25,-4.4,A
2015-12-29,28.7,30,NA,A
2015-12-30,15.9,20,-5.6,A
2015-12-31,16.6,17,-9.9,A
2016-01-01,31.5,14,-12.5,A
2016-01-02,23.8,14,-13,A
2016-01-03,18.8,10,-13.1,A
2016-01-04,18.6,10,NA,A
2016-01-05,29.6,10,-3.4,A
2016-01-06,36.3,12,-0.6,A
2016-01-07,29.6,17,0.6,A
2016-01-08,28.1,11,-0.2,A
2016-01-09,32.9,16,-1.9,A
2016-01-10,30.2,10,-2.5,A
2016-01-11,15.3,17,-1.1,A
2016-01-12,29,10,-2.1,A
2016-01-13,23.2,19,-0.4,A
2016-01-14,23.1,29,-1.3,A
2016-01-15,24.2,27,-0.6,A
2016-01-16,13.9,10,-1.5,A
2016-01-17,10.8,72,-1.2,A
2016-01-18,19.9,26,-0.3,A
2016-01-19,9.3,29,-0.5,A
2016-01-20,10.9,32,1.4,A
2016-01-21,7.6,33,1.7,A
2016-01-22,9.1,24,1.7,A
2016-01-23,18.3,18,-0.8,A
2016-01-24,15.2,22,0.9,A
2016-01-25,13,23,-0.5,A
2016-01-26,15.9,11,-0.4,A
2016-01-27,16,15,1,A
2016-01-28,16,56,3.5,A
2016-01-29,19.2,28,1.5,A
2016-01-30,17.8,38,0.2,A
2016-01-31,15.6,46,0.5,A
2016-02-01,13.7,68,0,A
2016-02-02,12.8,24,-3.1,A
2016-02-03,16.1,12,-5.2,A
2016-02-04,16.3,34,-0.3,A
2016-02-05,19.4,18,0.8,A
2016-02-06,14.4,42,2,A
2016-02-07,13.7,11,-2,A
2016-02-08,23.3,10,1.1,A
2016-02-09,21.5,25,-1.9,A
2016-02-10,18.2,12,-0.6,A
2016-02-11,27.5,11,-0.5,A
2016-02-12,17.2,27,2.4,A
2016-02-13,21.8,60,2.9,A
2016-02-14,19.9,24,0.9,A
2016-02-15,10.5,20,3.3,A
2016-02-16,10.6,41,4.2,A
2016-02-17,9.8,13,2.5,A
2016-02-18,15,19,3.6,A
2016-02-19,23.2,32,2.9,A
2016-02-20,23,79,5.1,A
2016-02-21,17.2,47,2.3,A
2016-02-22,17.6,75,4.6,A
2016-02-23,14.9,44,1.8,A
2016-02-24,14.8,17,3.8,A
2016-02-25,14.9,17,3.5,A
2016-02-26,23.1,18,3.8,A
2016-02-27,18.6,34,8.1,A
2016-02-28,8.8,94,3.3,A
2016-02-29,9.2,60,7.1,A
2016-11-01,29.7,66,8.7,B
2016-11-02,19.7,49,8.3,B
2016-11-03,30.2,58,NA,B
2016-11-04,19.2,75,NA,B
2016-11-05,22.9,95,9.3,B
2016-11-06,32.1,55,10.5,B
2016-11-07,18.5,54,8.6,B
2016-11-08,22.1,70,10.2,B
2016-11-09,26.3,48,9.1,B
2016-11-10,21.4,43,8.1,B
2016-11-11,18.9,26,7.3,B
2016-11-12,16,15,9.9,B
2016-11-13,21.1,15,7,B
2016-11-14,31.2,82,7.8,B
2016-11-15,20.2,15,2.8,B
2016-11-16,24.6,65,4.3,B
2016-11-17,21.6,35,2.2,B
2016-11-18,20.7,60,2.3,B
2016-11-19,18,45,2.6,B
2016-11-20,10.2,40,4.9,B
2016-11-21,23.6,57,5.7,B
2016-11-22,34.3,83,3.6,B
2016-11-23,25.8,34,5.4,B
2016-11-24,21.9,18,5.8,B
2016-11-25,22.1,48,6.7,B
2016-11-26,21.9,13,3.7,B
2016-11-27,9.7,52,5.8,B
2016-11-28,20.4,26,4.8,B
2016-11-29,9.4,36,1.5,B
2016-11-30,19.9,45,3.4,B
2016-12-01,9.2,41,2.6,B
2016-12-02,18.7,29,-0.2,B
2016-12-03,19.7,49,1.6,B
2016-12-04,23.1,38,-0.3,B
2016-12-05,17.5,44,-5,B
2016-12-06,19.9,44,-6.4,B
2016-12-07,33.1,28,-9,B
2016-12-08,31.9,32,-9.8,B
2016-12-09,20.7,23,-10.9,B
2016-12-10,28.5,19,-7.8,B
2016-12-11,21.4,22,-5.3,B
2016-12-12,27.2,30,-8.5,B
2016-12-13,31.9,19,-12.3,B
2016-12-14,34.1,15,-14.1,B
2016-12-15,21.9,53,-13.4,B
2016-12-16,23.1,63,-15.3,B
2016-12-17,19.4,18,-15.7,B
2016-12-18,35.5,14,-9.6,B
2016-12-19,40.4,15,-7,B
2016-12-20,34.6,45,-0.8,B
2016-12-21,29.7,14,-2.4,B
2016-12-22,30.2,15,-3.9,B
2016-12-23,29.9,15,-4.2,B
